case,group,reason
31.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; score margin 0.039 is below 0.160; winner score 0.020 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
32.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.136 is below 0.160; winner score 0.068 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
33.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
34.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.014 is below 0.160; winner score 0.007 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
36.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD
42.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.115 is below 0.160; winner score 0.057 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
43.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD; score margin 0.142 is below 0.160; winner score 0.071 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
44.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
45.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
46.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX
47.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.147 is below 0.160; winner score 0.074 is below 0.080
48.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
53.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
55.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
56.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
57.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
58.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
62.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.128 is below 0.160; winner score 0.064 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
63.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
64.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.098 is below 0.160; winner score 0.049 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
66.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.022 is below 0.160; winner score 0.011 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
67.label,assignment_unresolved_cases,score margin 0.062 is below 0.160; winner score 0.031 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
68.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
69.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.044 is below 0.160; winner score 0.022 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
70.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD
72.label,assignment_unresolved_cases,only 2/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 0/4 LCX-role measurements support the proposed LCX; score margin 0.019 is below 0.160; winner score 0.010 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
73.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
76.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
77.label,assignment_unresolved_cases,score margin 0.082 is below 0.160; winner score 0.041 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
79.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
82.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
83.label,assignment_unresolved_cases,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.051 is below 0.160; winner score 0.026 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
84.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.035 is below 0.160; winner score 0.018 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
86.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.035 is below 0.160; winner score 0.018 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
87.label,assignment_unresolved_cases,only 2/8 independent votes support the winner; only 0/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.070 is below 0.160; winner score 0.035 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
88.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.107 is below 0.160; winner score 0.054 is below 0.080
90.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
93.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.135 is below 0.160; winner score 0.067 is below 0.080
94.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD
96.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
98.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.060 is below 0.160; winner score 0.030 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
99.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.015 is below 0.160; winner score 0.007 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
104.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
108.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
109.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
110.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
111.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX
114.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
115.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.047 is below 0.160; winner score 0.024 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
116.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
118.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
119.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
123.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
124.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.020 is below 0.160; winner score 0.010 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
125.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
126.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
129.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
131.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
132.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.104 is below 0.160; winner score 0.052 is below 0.080
134.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
135.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD; score margin 0.024 is below 0.160; winner score 0.012 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
136.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
137.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
138.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.065 is below 0.160; winner score 0.033 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
139.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.110 is below 0.160; winner score 0.055 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
140.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
141.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
143.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; score margin 0.156 is below 0.160; winner score 0.078 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
145.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
146.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
147.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
150.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX; score margin 0.085 is below 0.160; winner score 0.043 is below 0.080
151.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
152.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
154.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD; score margin 0.005 is below 0.160; winner score 0.002 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
155.label,assignment_unresolved_cases,score margin 0.012 is below 0.160; winner score 0.006 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
156.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; score margin 0.109 is below 0.160; winner score 0.054 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
158.label,assignment_unresolved_cases,only 1/4 LAD-role measurements support the proposed LAD; score margin 0.101 is below 0.160; winner score 0.050 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
159.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
161.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.156 is below 0.160; winner score 0.078 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
163.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.031 is below 0.160; winner score 0.016 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
164.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; score margin 0.046 is below 0.160; winner score 0.023 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
166.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
174.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.107 is below 0.160; winner score 0.053 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
175.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
180.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
181.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; proposed LCX lacks minimum independent coronary-plane coherence
182.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
183.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
185.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.097 is below 0.160; winner score 0.048 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
186.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
188.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD
191.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 2/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
193.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.116 is below 0.160; winner score 0.058 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
194.label,assignment_unresolved_cases,only 2/4 LCX-role measurements support the proposed LCX; score margin 0.036 is below 0.160; winner score 0.018 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
196.label,assignment_unresolved_cases,only 1/4 LCX-role measurements support the proposed LCX; proposed LCX lacks minimum independent coronary-plane coherence
197.label,assignment_unresolved_cases,only 3/8 independent votes support the winner; only 2/4 LAD-role measurements support the proposed LAD; only 1/4 LCX-role measurements support the proposed LCX; score margin 0.000 is below 0.160; winner score 0.000 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
198.label,assignment_unresolved_cases,only 4/8 independent votes support the winner; only 0/4 LCX-role measurements support the proposed LCX; score margin 0.070 is below 0.160; winner score 0.035 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
199.label,assignment_unresolved_cases,only 2/4 LAD-role measurements support the proposed LAD; score margin 0.030 is below 0.160; winner score 0.015 is below 0.080; proposed LCX lacks minimum independent coronary-plane coherence
200.label,assignment_unresolved_cases,proposed LCX lacks minimum independent coronary-plane coherence
